Partida,Modo,Km
Partida 1:,Normal,0.85/1.0 km
UIAbot:,"0,82 km"
UAIBOTA:,"0,00 km"
UAIBOTINA:,"0,00 km"
UAIBOTINO:,"0,00 km"
Partida 2:,Normal,0.58/1.0 km
UIAbot:,"0,41 km"
UAIBOTA:,"0,00 km"
UAIBOTINA:,"0,00 km"
UAIBOTINO:,"0,00 km"
Partida 3:,Normal,0.04/1.0 km
UIAbot:,"0,03 km"
UAIBOTA:,"0,00 km"
UAIBOTINA:,"0,00 km"
UAIBOTINO:,"0,00 km"
Partida 4:,Normal,0.29/1.0 km
UIAbot:,"0,67 km"
UAIBOTA:,"0,00 km"
UAIBOTINA:,"0,00 km"
UAIBOTINO:,"0,00 km"
Partida 5:,Normal,1.00/1.0 km
UIAbot:,"0,95 km"
UAIBOTA:,"0,00 km"
UAIBOTINA:,"0,00 km"
UAIBOTINO:,"0,00 km"
Partida 6:,Infinito,0.68 km recorridos
UIAbot:,"0,23 km"
UAIBOTA:,"0,26 km"
UAIBOTINA:,"0,04 km"
UAIBOTINO:,"0,11 km"
Partida 7:,Infinito,0.06 km recorridos
UIAbot:,"0,05 km"
UAIBOTA:,"0,00 km"
UAIBOTINA:,"0,00 km"
UAIBOTINO:,"0,00 km"
Partida 8:,Normal,0.89/1.0 km
UIAbot:,"0,11 km"
UAIBOTA:,"0,28 km"
UAIBOTINA:,"0,36 km"
UAIBOTINO:,"0,08 km"
Partida 9:,Normal,1.00/1.0 km
UIAbot:,"0,10 km"
UAIBOTA:,"0,18 km"
UAIBOTINA:,"0,51 km"
UAIBOTINO:,"0,17 km"
Partida 10:,Normal,1.00/1.0 km
UIAbot:,"0,06 km"
UAIBOTA:,"0,19 km"
UAIBOTINA:,"0,32 km"
UAIBOTINO:,"0,36 km"
Partida 11:,Normal,0.75/1.0 km
UIAbot:,"0,69 km"
UAIBOTA:,"0,00 km"
UAIBOTINA:,"0,00 km"
UAIBOTINO:,"0,00 km"
Partida 12:,Normal,1.00/1.0 km
UIAbot:,"0,18 km"
UAIBOTA:,"0,02 km"
UAIBOTINA:,"0,63 km"
UAIBOTINO:,"0,12 km"
Partida 13:,Normal,1.00/1.0 km
UIAbot:,"0,20 km"
UAIBOTA:,"0,03 km"
UAIBOTINA:,"0,34 km"
UAIBOTINO:,"0,35 km"
Partida 14:,Normal,0.74/1.0 km
UIAbot:,"0,41 km"
UAIBOTA:,"0,04 km"
UAIBOTINA:,"0,24 km"
UAIBOTINO:,"0,01 km"
Partida 15:,Normal,1.00/1.0 km
UIAbot:,"0,06 km"
UAIBOTA:,"0,17 km"
UAIBOTINA:,"0,17 km"
UAIBOTINO:,"0,56 km"
Partida 16:,Infinito,0.51 km recorridos
UIAbot:,"0,05 km"
UAIBOTA:,"0,10 km"
UAIBOTINA:,"0,33 km"
UAIBOTINO:,"0,00 km"
Partida 17:,Infinito,0.04 km recorridos
UIAbot:,"0,04 km"
UAIBOTA:,"0,00 km"
UAIBOTINA:,"0,00 km"
UAIBOTINO:,"0,00 km"
Partida 18:,Normal,0.37/1.0 km
UIAbot:,"0,07 km"
UAIBOTA:,"0,07 km"
UAIBOTINA:,"0,22 km"
UAIBOTINO:,"0,00 km"
Partida 19:,Normal,0.62/1.0 km
UIAbot:,"0,16 km"
UAIBOTA:,"0,45 km"
UAIBOTINA:,"0,00 km"
UAIBOTINO:,"0,00 km"
Partida 20:,Normal,0.75/1.0 km
UIAbot:,"0,26 km"
UAIBOTA:,"0,22 km"
UAIBOTINA:,"0,21 km"
UAIBOTINO:,"0,01 km"
